latitude,longitude,chi,elevation,flow_distance,drainage_area,slope,source_key,basin_key
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.04537,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.049146,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.053609,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.058965,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.065511,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.073694,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.084215,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.098242,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.11788,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.14734,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.19643,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.29463,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.34177,0,0
34.4609536,110.292181,1.7759,741,11764,2.4466e+07,0.08088,0,0
34.4625805,110.29282,1.7351,731,11559,2.555e+07,0.048658,0,0
34.463394,110.29314,1.7148,727,11457,2.569e+07,0.046451,0,0
34.463394,110.29314,1.7148,727,11457,2.569e+07,0.051256,0,0
34.463394,110.29314,1.7148,727,11457,2.569e+07,0.0553,0,0
34.4636664,110.293464,1.7065,725,11415,2.5698e+07,0.048815,0,0
34.4642075,110.29346,1.6946,722,11355,2.5745e+07,0.047752,0,0
34.4644799,110.293784,1.6863,719,11312,2.5748e+07,0.045485,0,0
34.4644799,110.293784,1.6863,719,11312,2.5748e+07,0.046451,0,0
34.4644799,110.293784,1.6863,719,11312,2.5748e+07,0.051256,0,0
34.4650209,110.293779,1.6744,717,11252,2.5791e+07,0.047378,0,0
34.4655639,110.294102,1.6602,714,11180,2.587e+07,0.051256,0,0
34.4658344,110.294099,1.6543,711,11150,2.589e+07,0.033793,0,0
34.4658344,110.294099,1.6543,711,11150,2.589e+07,0.041372,0,0
34.4663773,110.294421,1.6401,709,11077,2.5904e+07,0.039157,0,0
34.4666497,110.294746,1.6317,707,11035,2.5906e+07,0.037609,0,0
34.4666497,110.294746,1.6317,707,11035,2.5906e+07,0.039853,0,0
34.4669203,110.294743,1.6258,704,11005,2.5912e+07,0.042908,0,0
34.4669203,110.294743,1.6258,704,11005,2.5912e+07,0.042898,0,0
34.4680099,110.296041,1.5759,697,10750,2.6106e+07,0.035603,0,0
34.4680099,110.296041,1.5759,697,10750,2.6106e+07,0.037605,0,0
34.4680099,110.296041,1.5759,697,10750,2.6106e+07,0.039485,0,0
34.4680099,110.296041,1.5759,697,10750,2.6106e+07,0.039485,0,0
34.468551,110.296036,1.5642,693.01,10690,2.6138e+07,0.037491,0,0
34.468551,110.296036,1.5642,693.01,10690,2.6138e+07,0.038592,0,0
34.468551,110.296036,1.5642,693.01,10690,2.6138e+07,0.04185,0,0
34.4685528,110.296363,1.5583,693,10660,2.6162e+07,0.04571,0,0
34.4685528,110.296363,1.5583,693,10660,2.6162e+07,0.050356,0,0
